"xcoord" "ycoord"
"290" 751039 4430296
"291" 751050 4430610
"292" 751050 4430610
"293" 751050 4430610
"294" 751051 4430535
"295" 751051 4430535
"296" 751050 4430303
"297" 751056 4430262
"298" 751060 4430608
"299" 751060 4430608
"300" 751060 4430608
"301" 751060 4430608
"302" 751071 4430606
"303" 751097 4430366
"304" 751085 4430603
"305" 751097 4430442
"306" 751105 4430287
"307" 751113 4430285
"308" 751122 4430610
"309" 751112 4430445
"310" 751117 4431366
"311" 751125 4430281
"312" 751125 4430281
"313" 751135 4430278
"314" 751135 4430430
"315" 751141 4430480
"316" 751141 4430592
"317" 751139 4430414
"318" 751159 4431057
"319" 751159 4431057
"320" 751163 4430681
"321" 751163 4430681
"322" 751163 4430681
"323" 751148 4431250
"324" 751148 4431250
"325" 751148 4431250
"326" 751164 4430508
"327" 751181 4431089
"328" 751181 4431089
"329" 751181 4431089
"330" 751176 4430456
"331" 751182 4430713
"332" 751186 4430583
"333" 751194 4431049
"334" 751199 4430581
"335" 751212 4430497
"336" 751222 4431042
"337" 751222 4431042
"338" 751232 4430710
"339" 751235 4430573
"340" 751235 4430573
"341" 751236 4429969
"342" 751250 4431072
"343" 751250 4431072
"344" 751254 4430543
"345" 751254 4430543
"346" 751254 4430543
"347" 751254 4430543
"348" 751254 4430543
"349" 751254 4430543
"350" 751270 4430753
"351" 751270 4430753
"352" 751268 4430559
"353" 751268 4430559
"354" 751268 4430559
"355" 751274 4430566
"356" 751274 4430566
"357" 751284 4430027
"358" 751284 4430027
"359" 751284 4430027
"360" 751284 4430027
"361" 751284 4430027
"362" 751284 4430027
"363" 751291 4430772
"364" 751291 4430772
"365" 751296 4431061
"366" 751296 4431061
"367" 751296 4431061
"368" 751296 4431061
"369" 751296 4431061
"370" 751296 4431061
"371" 751296 4431061
"372" 751313 4430558
"373" 751311 4430558
"374" 751319 4430493
"375" 751319 4430493
"376" 751326 4430515
"377" 751326 4430515
"378" 751331 4430532
"379" 751330 4430085
"380" 751332 4431098
"381" 751339 4430602
"382" 751339 4430602
"383" 751344 4430476
"384" 751346 4430685
"385" 751344 4430681
"386" 751348 4431048
"387" 751348 4431048
"388" 751348 4431048
"389" 751348 4431048
"390" 751348 4431048
"391" 751348 4431048
"392" 751360 4430843
"393" 751373 4430136
"394" 751399 4430457
"395" 751399 4430457
"396" 751424 4430492
"397" 751427 4430200
"398" 751421 4429854
"399" 751421 4429854
"400" 751421 4429854
"401" 751421 4429854
"402" 751429 4430508
"403" 751429 4430508
"404" 751450 4430466
"405" 751450 4430466
"406" 751450 4430466
"407" 751450 4430466
"408" 751451 4430594
"409" 751461 4430528
"410" 751464 4430592
"411" 751466 4430246
"412" 751466 4430246
"413" 751476 4430590
"414" 751481 4430589
"415" 751487 4430588
"416" 751487 4430588
"417" 751477 4430466
"418" 751485 4430268
"419" 751509 4430295
"420" 751510 4430520
"421" 751510 4430520
"422" 751510 4430520
"423" 751510 4430520
"424" 751510 4430520
"425" 751510 4430520
"426" 751510 4430520
"427" 751510 4430520
"428" 751510 4430520
"429" 751527 4430483
"430" 751527 4430483
"431" 751527 4430483
"432" 751529 4430318
"433" 751562 4430354
"434" 751562 4430354
"435" 751562 4430354
"436" 751562 4430354
"437" 751562 4430354
"438" 751560 4430577
"439" 751577 4430508
"440" 751602 4429784
"441" 751591 4430168
"442" 751600 4430504
"443" 751608 4430571
"444" 751608 4430571
"445" 751608 4430571
"446" 751620 4430424
"447" 751626 4429823
"448" 751627 4430431
"449" 751663 4430611
"450" 751641 4430449
"451" 751641 4430449
"452" 751641 4430449
"453" 751641 4430449
"454" 751649 4430496
"455" 751658 4429591
"456" 751658 4429591
"457" 751668 4429586
"458" 751694 4430515
"459" 751694 4430515
"460" 751670 4430970
"461" 751676 4430491
"462" 751669 4429633
"463" 751669 4429633
"464" 751669 4429633
"465" 751681 4430967
"466" 751682 4430490
"467" 751682 4430490
"468" 751682 4430490
"469" 751682 4430490
"470" 751692 4430911
"471" 751692 4430911
"472" 751692 4430911
"473" 751716 4430957
"474" 751710 4429695
"475" 751726 4430752
"476" 751727 4429556
"477" 751727 4429556
"478" 751727 4429556
"479" 751727 4429556
"480" 751728 4430485
"481" 751734 4430681
"482" 751734 4430681
"483" 751734 4430681
"484" 751734 4430681
"485" 751734 4430681
"486" 751734 4430681
"487" 751734 4430681
"488" 751734 4430681
"489" 751734 4430681
"490" 751734 4430681
"491" 751734 4430681
"492" 751734 4430681
"493" 751734 4430681
"494" 751734 4430681
"495" 751745 4429746
"496" 751745 4429746
"497" 751745 4429746
"498" 751750 4430948
"499" 751750 4430948
"500" 751750 4430948
"501" 751759 4430027
"502" 751787 4430387
"503" 751787 4430387
"504" 751754 4429730
"505" 751753 4429545
"506" 751753 4429545
"507" 751753 4429545
"508" 751762 4430337
"509" 751759 4430482
"510" 751751 4429255
"511" 751759 4429639
"512" 751759 4430028
"513" 751764 4430553
"514" 751764 4430553
"515" 751764 4430481
"516" 751755 4429632
"517" 751769 4429661
"518" 751765 4429294
"519" 751765 4429294
"520" 751773 4430942
"521" 751766 4430668
"522" 751776 4430054
"523" 751776 4430366
"524" 751780 4430480
"525" 751783 4429270
"526" 751777 4430693
"527" 751777 4430693
"528" 751814 4430754
"529" 751814 4430754
"530" 751814 4430754
"531" 751814 4430754
"532" 751814 4430754
"533" 751814 4430754
"534" 751814 4430754
"535" 751814 4430754
"536" 751814 4430754
"537" 751814 4430754
"538" 751791 4430331
"539" 751797 4430478
"540" 751797 4430478
"541" 751797 4430478
"542" 751806 4430708
"543" 751807 4429525
"544" 751807 4429525
"545" 751807 4429525
"546" 751807 4429525
"547" 751808 4430555
"548" 751811 4429308
"549" 751811 4429308
"550" 751811 4429308
"551" 751811 4429308
"552" 751811 4429308
"553" 751815 4429255
"554" 751815 4429255
"555" 751810 4429827
"556" 751816 4430321
"557" 751804 4430739
"558" 751804 4430739
"559" 751804 4430739
"560" 751816 4430321
"561" 751816 4430321
"562" 751816 4430321
"563" 751816 4430321
"564" 751814 4429188
"565" 751816 4430322
"566" 751816 4430322
"567" 751816 4430322
"568" 751816 4430322
"569" 751815 4430445
"570" 751820 4430556
"571" 751820 4430556
"572" 751835 4430275
"573" 751824 4429235
"574" 751824 4429235
"575" 751839 4430791
"576" 751839 4430791
"577" 751839 4430791
"578" 751839 4430791
"579" 751826 4430467
"580" 751826 4430467
"581" 751826 4430467
"582" 751826 4430467
"583" 751826 4430467
"584" 751844 4430159
"585" 751844 4430159
"586" 751844 4430159
"587" 751844 4430159
"588" 751839 4430282
"589" 751838 4429259
"590" 751838 4429259
"591" 751838 4429259
"592" 751841 4430946
"593" 751838 4429259
"594" 751838 4429259
"595" 751838 4429259
"596" 751838 4429259
"597" 751841 4430946
"598" 751830 4429766
"599" 751838 4429259
"600" 751838 4429259
"601" 751838 4429259
"602" 751841 4430946
"603" 751836 4430374
"604" 751842 4430497
"605" 751835 4429182
"606" 751842 4430497
"607" 751842 4430497
"608" 751842 4430497
"609" 751836 4429255
"610" 751836 4429255
"611" 751836 4429255
"612" 751836 4429255
"613" 751837 4430279
"614" 751837 4430279
"615" 751838 4430391
"616" 751849 4430510
"617" 751844 4430557
"618" 751871 4430840
"619" 751871 4430840
"620" 751871 4430840
"621" 751871 4430840
"622" 751871 4430840
"623" 751871 4430840
"624" 751850 4430645
"625" 751844 4430693
"626" 751844 4430693
"627" 751849 4430472
"628" 751849 4430472
"629" 751845 4430504
"630" 751848 4429292
"631" 751850 4430557
"632" 751850 4430557
"633" 751850 4430557
"634" 751857 4430316
"635" 751857 4430316
"636" 751847 4429275
"637" 751857 4430316
"638" 751857 4430316
"639" 751857 4430316
"640" 751848 4430411
"641" 751847 4429275
"642" 751847 4429275
"643" 751855 4430426
"644" 751855 4430426
"645" 751847 4429275
"646" 751847 4429275
"647" 751847 4429275
"648" 751847 4429275
"649" 751847 4429275
"650" 751858 4430529
"651" 751858 4430663
"652" 751853 4430308
"653" 751853 4430308
"654" 751858 4430663
"655" 751853 4430308
"656" 751852 4430763
"657" 751859 4429893
"658" 751843 4430798
"659" 751843 4430798
"660" 751843 4430798
"661" 751858 4429366
"662" 751853 4429756
"663" 751853 4429756
"664" 751863 4430328
"665" 751855 4429887
"666" 751856 4430659
"667" 751856 4430659
"668" 751856 4430659
"669" 751861 4430558
"670" 751861 4430558
"671" 751861 4430558
"672" 751873 4430205
"673" 751861 4430558
"674" 751858 4429174
"675" 751861 4430558
"676" 751861 4430558
"677" 751861 4430558
"678" 751859 4429611
"679" 751859 4429611
"680" 751860 4430977
"681" 751860 4430977
"682" 751860 4430977
"683" 751859 4429611
"684" 751859 4429611
"685" 751870 4430341
"686" 751875 4430845
"687" 751861 4429449
"688" 751875 4430845
"689" 751864 4430364
"690" 751864 4430364
"691" 751864 4430364
"692" 751864 4430364
"693" 751864 4430364
"694" 751861 4429634
"695" 751861 4429634
"696" 751864 4430541
"697" 751864 4430541
"698" 751862 4429649
"699" 751862 4429649
"700" 751862 4429649
"701" 751865 4429901
"702" 751865 4429901
"703" 751865 4429864
"704" 751865 4429864
"705" 751865 4429864
"706" 751876 4429323
"707" 751872 4430558
"708" 751872 4430558
"709" 751872 4430558
"710" 751872 4430558
"711" 751872 4430558
"712" 751872 4430558
"713" 751885 4430861
"714" 751876 4430470
"715" 751882 4429924
"716" 751882 4429924
"717" 751882 4429924
"718" 751882 4429924
"719" 751879 4430358
"720" 751879 4430358
"721" 751879 4430358
"722" 751890 4430869
"723" 751890 4430869
"724" 751878 4430679
"725" 751887 4429508
"726" 751894 4430238
"727" 751894 4430238
"728" 751894 4430238
"729" 751894 4430238
"730" 751894 4430238
"731" 751894 4430238
"732" 751894 4430238
"733" 751891 4429750
"734" 751891 4429750
"735" 751890 4429205
"736" 751890 4429205
"737" 751879 4429920
"738" 751884 4430469
"739" 751884 4430469
"740" 751870 4430995
"741" 751883 4429335
"742" 751883 4429335
"743" 751883 4429335
"744" 751883 4429335
"745" 751886 4429197
"746" 751889 4430559
"747" 751897 4429764
"748" 751897 4429764
"749" 751889 4430559
"750" 751895 4429850
"751" 751887 4429509
"752" 751899 4429223
"753" 751893 4430468
"754" 751893 4430468
"755" 751897 4429532
"756" 751907 4429380
"757" 751893 4430468
"758" 751897 4429532
"759" 751891 4429163
"760" 751891 4429163
"761" 751896 4430749
"762" 751896 4430749
"763" 751896 4430749
"764" 751903 4429779
"765" 751892 4429851
"766" 751903 4429779
"767" 751902 4430619
"768" 751894 4429213
"769" 751894 4429213
"770" 751894 4429213
"771" 751893 4429851
"772" 751896 4429528
"773" 751896 4429528
"774" 751896 4429528
"775" 751902 4430350
"776" 751903 4429665
"777" 751908 4429555
"778" 751903 4429665
"779" 751903 4429665
"780" 751901 4430616
"781" 751911 4429247
"782" 751911 4429247
"783" 751911 4429247
"784" 751911 4429247
"785" 751911 4429247
"786" 751911 4429247
"787" 751911 4429247
"788" 751905 4429954
"789" 751906 4430560
"790" 751906 4430560
"791" 751908 4430466
"792" 751908 4430466
"793" 751898 4430882
"794" 751898 4430882
"795" 751898 4430882
"796" 751898 4430882
"797" 751898 4430882
"798" 751898 4430882
"799" 751898 4430882
"800" 751898 4430882
"801" 751898 4430882
"802" 751906 4430667
"803" 751906 4430667
"804" 751923 4430924
"805" 751906 4430409
"806" 751906 4430409
"807" 751906 4430409
"808" 751906 4430409
"809" 751906 4430409
"810" 751906 4430409
"811" 751892 4430871
"812" 751906 4430409
"813" 751923 4430924
"814" 751912 4429477
"815" 751911 4430903
"816" 751908 4429383
"817" 751911 4430560
"818" 751904 4429063
"819" 751904 4429063
"820" 751911 4429562
"821" 751920 4429411
"822" 751911 4429562
"823" 751918 4429342
"824" 751918 4429342
"825" 751918 4429342
"826" 751914 4430466
"827" 751918 4429342
"828" 751925 4429162
"829" 751925 4429162
"830" 751925 4429162
"831" 751907 4429112
"832" 751907 4429112
"833" 751925 4429162
"834" 751925 4429162
"835" 751922 4430438
"836" 751916 4430744
"837" 751922 4430438
"838" 751918 4430802
"839" 751922 4430438
"840" 751914 4429476
"841" 751922 4430438
