"cx" "cy"
"201" 751199.0913 4430180.9
"202" 751199.7506 4430837.569
"203" 751214.5932 4430765.083
"204" 751215.0056 4430497.737
"205" 751216.4074 4430499.237
"206" 751220.0358 4430173.002
"207" 751228.2814 4430700.396
"208" 751231.8273 4430209.794
"209" 751233.1467 4430209.395
"210" 751234.3006 4431077.621
"211" 751238.754 4429970.142
"212" 751244.1955 4431294.778
"213" 751244.3605 4431119.413
"214" 751246.9171 4430533.73
"215" 751253.761 4430745.787
"216" 751254.3381 4431035.43
"217" 751257.8842 4430290.678
"218" 751261.842 4430741.788
"219" 751276.1899 4430566.823
"220" 751291.4447 4430598.717
"221" 751312.3068 4430463.344
"222" 751315.8522 4430946.447
"223" 751319.0684 4430485.739
"224" 751320.3049 4431056.425
"225" 751323.356 4430803.576
"226" 751325.0878 4430505.735
"227" 751326.2426 4429911.854
"228" 751331.2719 4431100.016
"229" 751339.5181 4430553.826
"230" 751346.8571 4430103.116
"231" 751351.4745 4430689.199
"232" 751362.3589 4430907.755
"233" 751368.2958 4431044.528
"234" 751390.6423 4430747.687
"235" 751392.0444 4430157.005
"236" 751406.557 4430431.15
"237" 751407.3813 4430888.459
"238" 751413.8133 4430453.946
"239" 751423.1314 4429855.365
"240" 751439.6228 4430533.63
"241" 751439.7052 4430533.63
"242" 751452.7339 4430228.291
"243" 751459.6602 4430593.918
"244" 751461.3922 4429921.952
"245" 751491.3241 4430860.964
"246" 751495.8596 4430401.556
"247" 751515.1552 4429805.875
"248" 751537.5836 4430516.533
"249" 751538.903 4430326.771
"250" 751542.2837 4430515.733
"251" 751559.0229 4430426.351
"252" 751562.651 4430577.721
"253" 751575.5974 4429739.788
"254" 751580.2148 4430373.661
"255" 751582.5232 4430992.338
"256" 751586.2343 4430171.702
"257" 751588.3781 4430507.635
"258" 751592.0891 4429765.683
"259" 751592.419 4429766.183
"260" 751608.9928 4430408.155
"261" 751609.0751 4430691.098
"262" 751615.3417 4431015.033
"263" 751618.5576 4431006.535
"264" 751623.2578 4430994.338
"265" 751627.299 4429567.123
"266" 751627.8759 4430288.478
"267" 751645.5222 4429849.466
"268" 751647.4189 4429597.616
"269" 751656.6537 4430686.899
"270" 751657.3964 4429612.714
"271" 751661.1066 4430387.559
"272" 751670.3419 4430565.623
"273" 751678.8351 4430491.938
"274" 751684.6897 4430491.038
"275" 751691.6167 4429664.603
"276" 751693.5125 4430909.654
"277" 751700.5217 4430572.622
"278" 751703.9029 4429940.548
"279" 751709.18 4430374.261
"280" 751713.7975 4430551.626
"281" 751718.4975 4430958.345
"282" 751725.1774 4429562.923
"283" 751729.547 4430754.585
"284" 751731.4442 4429560.124
"285" 751739.7725 4429737.689
"286" 751740.9272 4429220.792
"287" 751751.1514 4430310.774
"288" 751756.5116 4429548.726
"289" 751762.6137 4429281.879
"290" 751766.4062 4430341.868
"291" 751778.0335 4429325.471
"292" 751781.2491 4429788.978
"293" 751788.1759 4429353.665
"294" 751791.4736 4430392.758
"295" 751791.9682 4430715.293
"296" 751795.6794 4429714.293
"297" 751801.2044 4429194.197
"298" 751802.2762 4429390.458
"299" 751804.5847 4430094.317
"300" 751812.5829 4430556.325
"301" 751819.5925 4429435.549
"302" 751827.7552 4430771.882
"303" 751828.5805 4429459.144
"304" 751832.0429 4430927.051
"305" 751832.2081 4430475.441
"306" 751833.3632 4429248.086
"307" 751833.5274 4430475.341
"308" 751833.6924 4430376.961
"309" 751837.9803 4430276.081
"310" 751843.7528 4429511.234
"311" 751846.8861 4429874.261
"312" 751851.1742 4429422.551
"313" 751855.3791 4430308.874
"314" 751857.8534 4429289.178
